[2026-03-13 03:18:52,399] INFO - 🚀 Starting preprocessing...
[2026-03-13 03:18:54,867] ERROR - ❌ Failed to load dataset: [Errno 2] No such file or directory: 'movies.csv'
[2026-03-13 03:20:30,494] INFO - 🚀 Starting preprocessing...
[2026-03-13 03:20:30,772] INFO - ✅ Dataset loaded successfully. Total rows: 4803
[2026-03-13 03:20:30,782] INFO - 🧹 Cleaning text...
[2026-03-13 03:20:31,614] INFO - ✅ Text cleaned.
[2026-03-13 03:20:31,614] INFO - 🔠 Vectorizing using TF-IDF...
[2026-03-13 03:20:31,746] INFO - ✅ TF-IDF matrix shape: (4800, 5000)
[2026-03-13 03:20:31,746] INFO - 📐 Calculating cosine similarity...
[2026-03-13 03:20:31,811] INFO - ✅ Cosine similarity matrix generated.
[2026-03-13 03:20:31,904] INFO - 💾 Data saved to disk.
[2026-03-13 03:20:31,905] INFO - ✅ Preprocessing complete.
[2026-03-13 03:26:01,344] INFO - 🚀 Starting preprocessing...
[2026-03-13 03:26:01,599] INFO - ✅ Dataset loaded successfully. Total rows: 4803
[2026-03-13 03:26:01,606] INFO - 🧹 Cleaning text...
[2026-03-13 03:26:02,401] INFO - ✅ Text cleaned.
[2026-03-13 03:26:02,402] INFO - 🔠 Vectorizing using TF-IDF...
[2026-03-13 03:26:02,541] INFO - ✅ TF-IDF matrix shape: (4800, 5000)
[2026-03-13 03:26:02,541] INFO - 📐 Calculating cosine similarity...
[2026-03-13 03:26:02,621] INFO - ✅ Cosine similarity matrix generated.
[2026-03-13 03:26:02,737] INFO - 💾 Data saved to disk.
[2026-03-13 03:26:02,738] INFO - ✅ Preprocessing complete.
[2026-03-13 03:27:54,553] INFO - 🚀 Starting preprocessing...
[2026-03-13 03:27:54,786] INFO - ✅ Dataset loaded successfully. Total rows: 4803
[2026-03-13 03:27:54,792] INFO - 🧹 Cleaning text...
[2026-03-13 03:27:55,633] INFO - ✅ Text cleaned.
[2026-03-13 03:27:55,633] INFO - 🔠 Vectorizing using TF-IDF...
[2026-03-13 03:27:55,778] INFO - ✅ TF-IDF matrix shape: (4800, 5000)
[2026-03-13 03:27:55,778] INFO - 📐 Calculating cosine similarity...
[2026-03-13 03:27:55,860] INFO - ✅ Cosine similarity matrix generated.
[2026-03-13 03:27:56,044] INFO - 💾 Data saved to disk.
[2026-03-13 03:27:56,044] INFO - ✅ Preprocessing complete.
[2026-03-13 03:30:30,327] INFO - 🚀 Starting preprocessing...
[2026-03-13 03:30:30,603] INFO - ✅ Dataset loaded successfully. Total rows: 4803
[2026-03-13 03:30:30,609] INFO - 🧹 Cleaning text...
[2026-03-13 03:30:31,369] INFO - ✅ Text cleaned.
[2026-03-13 03:30:31,370] INFO - 🔠 Vectorizing using TF-IDF...
[2026-03-13 03:30:31,501] INFO - ✅ TF-IDF matrix shape: (4800, 5000)
[2026-03-13 03:30:31,501] INFO - 📐 Calculating cosine similarity...
[2026-03-13 03:30:31,566] INFO - ✅ Cosine similarity matrix generated.
[2026-03-13 03:30:31,681] INFO - 💾 Data saved to disk.
[2026-03-13 03:30:31,681] INFO - ✅ Preprocessing complete.
[2026-03-13 03:35:27,462] INFO - 🚀 Starting preprocessing...
[2026-03-13 03:35:27,691] INFO - ✅ Dataset loaded successfully. Total rows: 4803
[2026-03-13 03:35:27,697] INFO - 🧹 Cleaning text...
[2026-03-13 03:35:28,467] INFO - ✅ Text cleaned.
[2026-03-13 03:35:28,467] INFO - 🔠 Vectorizing using TF-IDF...
[2026-03-13 03:35:28,600] INFO - ✅ TF-IDF matrix shape: (4800, 5000)
[2026-03-13 03:35:28,600] INFO - 📐 Calculating cosine similarity...
[2026-03-13 03:35:28,671] INFO - ✅ Cosine similarity matrix generated.
[2026-03-13 03:35:28,798] INFO - 💾 Data saved to disk.
[2026-03-13 03:35:28,798] INFO - ✅ Preprocessing complete.
[2026-03-13 08:58:08,403] INFO - 🚀 Starting preprocessing...
[2026-03-13 09:02:21,154] INFO - 🚀 Starting preprocessing...
[2026-03-13 09:02:22,065] INFO - ✅ Dataset loaded successfully. Total rows: 4803
[2026-03-13 09:02:22,081] INFO - 🧹 Cleaning text...
[2026-03-13 09:02:23,451] INFO - ✅ Text cleaned.
[2026-03-13 09:02:23,451] INFO - 🔠 Vectorizing using TF-IDF...
[2026-03-13 09:02:23,702] INFO - ✅ TF-IDF matrix shape: (4800, 5000)
[2026-03-13 09:02:23,702] INFO - 📐 Calculating cosine similarity...
[2026-03-13 09:02:23,856] INFO - ✅ Cosine similarity matrix generated.
[2026-03-13 09:02:24,602] INFO - 💾 Data saved to disk.
[2026-03-13 09:02:24,603] INFO - ✅ Preprocessing complete.
[2026-03-14 01:51:58,495] INFO - 🚀 Starting preprocessing...
[2026-03-14 01:51:58,591] INFO - ✅ Dataset loaded successfully. Total rows: 4803
[2026-03-14 01:51:58,604] INFO - 🧹 Cleaning text...
[2026-03-14 01:51:59,393] INFO - ✅ Text cleaned.
[2026-03-14 01:51:59,393] INFO - 🔠 Vectorizing using TF-IDF...
[2026-03-14 01:51:59,524] INFO - ✅ TF-IDF matrix shape: (4800, 5000)
[2026-03-14 01:51:59,525] INFO - 📐 Calculating cosine similarity...
[2026-03-14 01:51:59,604] INFO - ✅ Cosine similarity matrix generated.
[2026-03-14 01:51:59,699] INFO - 💾 Data saved to disk.
[2026-03-14 01:51:59,699] INFO - ✅ Preprocessing complete.
